"","thres","n","snr","test","power"
"315",0.05,540,14.79,"URXOP6",0.2
"316",0.05,540,14.79,"URXOP1",1
"317",0.05,540,14.79,"URXOP3",0.76
"318",0.05,540,14.79,"URXOP5",0.73
"319",0.05,550,14.55,"URXOP2",1
"320",0.05,550,14.55,"URXOP4",0.75
"321",0.05,550,14.55,"URXOP6",0.22
"322",0.05,550,14.55,"URXOP1",1
"323",0.05,550,14.55,"URXOP3",0.67
"324",0.05,550,14.55,"URXOP5",0.71
"325",0.05,560,14.38,"URXOP2",1
"326",0.05,560,14.38,"URXOP4",0.88
"327",0.05,560,14.38,"URXOP6",0.32
"328",0.05,560,14.38,"URXOP1",1
"329",0.05,560,14.38,"URXOP3",0.65
"330",0.05,560,14.38,"URXOP5",0.79
"331",0.05,570,14.59,"URXOP2",1
"332",0.05,570,14.59,"URXOP4",0.86
"333",0.05,570,14.59,"URXOP6",0.27
"334",0.05,570,14.59,"URXOP1",1
"335",0.05,570,14.59,"URXOP3",0.69
"336",0.05,570,14.59,"URXOP5",0.79
"337",0.05,580,14.64,"URXOP2",1
"338",0.05,580,14.64,"URXOP4",0.78
"339",0.05,580,14.64,"URXOP6",0.19
"340",0.05,580,14.64,"URXOP1",1
"341",0.05,580,14.64,"URXOP3",0.72
"342",0.05,580,14.64,"URXOP5",0.82
"343",0.05,590,14.57,"URXOP2",1
"344",0.05,590,14.57,"URXOP4",0.75
"345",0.05,590,14.57,"URXOP6",0.26
"346",0.05,590,14.57,"URXOP1",1
"347",0.05,590,14.57,"URXOP3",0.72
"348",0.05,590,14.57,"URXOP5",0.79
"349",0.05,600,14.59,"URXOP2",1
"350",0.05,600,14.59,"URXOP4",0.86
"351",0.05,600,14.59,"URXOP6",0.21
"352",0.05,600,14.59,"URXOP1",1
"353",0.05,600,14.59,"URXOP3",0.74
"354",0.05,600,14.59,"URXOP5",0.82
"355",0.05,610,14.71,"URXOP2",1
"356",0.05,610,14.71,"URXOP4",0.78
"357",0.05,610,14.71,"URXOP6",0.25
"358",0.05,610,14.71,"URXOP1",1
"359",0.05,610,14.71,"URXOP3",0.81
"360",0.05,610,14.71,"URXOP5",0.8
"361",0.05,620,14.42,"URXOP2",1
"362",0.05,620,14.42,"URXOP4",0.86
"363",0.05,620,14.42,"URXOP6",0.27
"364",0.05,620,14.42,"URXOP1",1
"365",0.05,620,14.42,"URXOP3",0.74
"366",0.05,620,14.42,"URXOP5",0.75
"367",0.05,630,14.87,"URXOP2",1
"368",0.05,630,14.87,"URXOP4",0.86
"369",0.05,630,14.87,"URXOP6",0.17
"370",0.05,630,14.87,"URXOP1",1
"371",0.05,630,14.87,"URXOP3",0.78
"372",0.05,630,14.87,"URXOP5",0.86
"373",0.05,640,14.85,"URXOP2",1
"374",0.05,640,14.85,"URXOP4",0.86
"375",0.05,640,14.85,"URXOP6",0.23
"376",0.05,640,14.85,"URXOP1",1
"377",0.05,640,14.85,"URXOP3",0.79
"378",0.05,640,14.85,"URXOP5",0.79
"379",0.05,650,14.56,"URXOP2",1
"380",0.05,650,14.56,"URXOP4",0.8
"381",0.05,650,14.56,"URXOP6",0.24
"382",0.05,650,14.56,"URXOP1",1
"383",0.05,650,14.56,"URXOP3",0.78
"384",0.05,650,14.56,"URXOP5",0.85
"385",0.05,660,14.57,"URXOP2",1
"386",0.05,660,14.57,"URXOP4",0.8
"387",0.05,660,14.57,"URXOP6",0.3
"388",0.05,660,14.57,"URXOP1",1
"389",0.05,660,14.57,"URXOP3",0.8
"390",0.05,660,14.57,"URXOP5",0.81
"391",0.05,670,14.82,"URXOP2",1
"392",0.05,670,14.82,"URXOP4",0.84
"393",0.05,670,14.82,"URXOP6",0.31
"394",0.05,670,14.82,"URXOP1",1
"395",0.05,670,14.82,"URXOP3",0.73
"396",0.05,670,14.82,"URXOP5",0.82
"397",0.05,680,14.8,"URXOP2",1
"398",0.05,680,14.8,"URXOP4",0.8
"399",0.05,680,14.8,"URXOP6",0.39
"400",0.05,680,14.8,"URXOP1",1
"401",0.05,680,14.8,"URXOP3",0.81
"402",0.05,680,14.8,"URXOP5",0.83
"403",0.05,690,14.55,"URXOP2",1
"404",0.05,690,14.55,"URXOP4",0.87
